,Region,Average price May 2021
3,North East,"143,129"
8,Yorkshire and the Humber,"181,856"
4,North West,"189,245"
0,East Midlands,"216,077"
7,West Midlands,"219,793"
6,South West,"277,603"
1,East of England,"310,200"
5,South East,"350,016"
2,London,"497,948"
