,time,value,value2,month,year,year2,day,date
78,Dec-19,107.6,107.6,Dec,19,2019,01,2019-Dec-01
79,Jan-20,107.7,107.7,Jan,20,2020,01,2020-Jan-01
80,May-20,108.2,108.2,May,20,2020,01,2020-May-01
81,Jul-19,107.2,107.2,Jul,19,2019,01,2019-Jul-01
82,Nov-19,107.4,107.4,Nov,19,2019,01,2019-Nov-01
83,May-05,75.6,75.6,May,05,2005,01,2005-May-01
84,Aug-05,76.0,76.0,Aug,05,2005,01,2005-Aug-01
85,Aug-07,80.3,80.3,Aug,07,2007,01,2007-Aug-01
86,Oct-07,80.9,80.9,Oct,07,2007,01,2007-Oct-01
87,May-08,83.1,83.1,May,08,2008,01,2008-May-01
88,Mar-09,85.7,85.7,Mar,09,2009,01,2009-Mar-01
89,Nov-10,85.5,85.5,Nov,10,2010,01,2010-Nov-01
90,Dec-16,105.8,105.8,Dec,16,2016,01,2016-Dec-01
91,Jun-17,106.3,106.3,Jun,17,2017,01,2017-Jun-01
92,Aug-17,106.5,106.5,Aug,17,2017,01,2017-Aug-01
93,Oct-17,106.5,106.5,Oct,17,2017,01,2017-Oct-01
94,Aug-18,106.3,106.3,Aug,18,2018,01,2018-Aug-01
95,Jan-19,106.4,106.4,Jan,19,2019,01,2019-Jan-01
96,Feb-19,106.5,106.5,Feb,19,2019,01,2019-Feb-01
97,Feb-21,108.5,108.5,Feb,21,2021,01,2021-Feb-01
98,Mar-05,75.5,75.5,Mar,05,2005,01,2005-Mar-01
99,May-19,107.0,107.0,May,19,2019,01,2019-May-01
100,Jun-10,84.5,84.5,Jun,10,2010,01,2010-Jun-01
101,Jul-10,84.7,84.7,Jul,10,2010,01,2010-Jul-01
102,Aug-10,84.8,84.8,Aug,10,2010,01,2010-Aug-01
103,Jan-12,90.5,90.5,Jan,12,2012,01,2012-Jan-01
104,Feb-13,94.9,94.9,Feb,13,2013,01,2013-Feb-01
105,Aug-15,102.7,102.7,Aug,15,2015,01,2015-Aug-01
106,Sep-15,102.8,102.8,Sep,15,2015,01,2015-Sep-01
107,Feb-06,77.0,77.0,Feb,06,2006,01,2006-Feb-01
108,Feb-07,78.6,78.6,Feb,07,2007,01,2007-Feb-01
109,Nov-07,81.2,81.2,Nov,07,2007,01,2007-Nov-01
110,Feb-08,82.4,82.4,Feb,08,2008,01,2008-Feb-01
111,Jun-05,75.6,75.6,Jun,05,2005,01,2005-Jun-01
112,Oct-06,78.0,78.0,Oct,06,2006,01,2006-Oct-01
113,Apr-08,82.8,82.8,Apr,08,2008,01,2008-Apr-01
114,Dec-08,85.2,85.2,Dec,08,2008,01,2008-Dec-01
115,Nov-06,78.2,78.2,Nov,06,2006,01,2006-Nov-01
116,Oct-09,85.1,85.1,Oct,09,2009,01,2009-Oct-01
117,May-12,91.9,91.9,May,12,2012,01,2012-May-01
118,Feb-14,97.3,97.3,Feb,14,2014,01,2014-Feb-01
119,May-14,98.0,98.0,May,14,2014,01,2014-May-01
120,Apr-09,85.8,85.8,Apr,09,2009,01,2009-Apr-01
121,Jul-14,98.3,98.3,Jul,14,2014,01,2014-Jul-01
122,May-09,85.8,85.8,May,09,2009,01,2009-May-01
123,Sep-10,85.0,85.0,Sep,10,2010,01,2010-Sep-01
124,Aug-11,88.4,88.4,Aug,11,2011,01,2011-Aug-01
125,Dec-11,90.0,90.0,Dec,11,2011,01,2011-Dec-01
126,Apr-12,91.6,91.6,Apr,12,2012,01,2012-Apr-01
127,Jan-05,75.5,75.5,Jan,05,2005,01,2005-Jan-01
128,Feb-05,75.5,75.5,Feb,05,2005,01,2005-Feb-01
129,Sep-05,76.2,76.2,Sep,05,2005,01,2005-Sep-01
130,Nov-05,76.3,76.3,Nov,05,2005,01,2005-Nov-01
131,Dec-07,81.7,81.7,Dec,07,2007,01,2007-Dec-01
132,Jan-08,82.2,82.2,Jan,08,2008,01,2008-Jan-01
133,May-11,87.4,87.4,May,11,2011,01,2011-May-01
134,Oct-12,93.8,93.8,Oct,12,2012,01,2012-Oct-01
135,Nov-12,94.0,94.0,Nov,12,2012,01,2012-Nov-01
136,Jul-13,96.3,96.3,Jul,13,2013,01,2013-Jul-01
137,Jun-14,98.1,98.1,Jun,14,2014,01,2014-Jun-01
138,Apr-15,100.9,100.9,Apr,15,2015,01,2015-Apr-01
139,Feb-18,106.2,106.2,Feb,18,2018,01,2018-Feb-01
140,Mar-19,106.6,106.6,Mar,19,2019,01,2019-Mar-01
141,Aug-20,108.5,108.5,Aug,20,2020,01,2020-Aug-01
142,Jan-21,108.6,108.6,Jan,21,2021,01,2021-Jan-01
143,Jul-21,108.2,108.2,Jul,21,2021,01,2021-Jul-01
144,Apr-16,104.7,104.7,Apr,16,2016,01,2016-Apr-01
145,Nov-17,106.4,106.4,Nov,17,2017,01,2017-Nov-01
146,Jun-19,107.0,107.0,Jun,19,2019,01,2019-Jun-01
147,Dec-20,108.6,108.6,Dec,20,2020,01,2020-Dec-01
148,Mar-21,108.5,108.5,Mar,21,2021,01,2021-Mar-01
149,Oct-05,76.2,76.2,Oct,05,2005,01,2005-Oct-01
150,Sep-06,77.9,77.9,Sep,06,2006,01,2006-Sep-01
151,Mar-07,78.8,78.8,Mar,07,2007,01,2007-Mar-01
152,Apr-07,79.2,79.2,Apr,07,2007,01,2007-Apr-01
153,May-10,84.5,84.5,May,10,2010,01,2010-May-01
154,Oct-10,85.3,85.3,Oct,10,2010,01,2010-Oct-01
155,Dec-12,94.4,94.4,Dec,12,2012,01,2012-Dec-01
156,May-13,95.8,95.8,May,13,2013,01,2013-May-01
157,Dec-13,97.2,97.2,Dec,13,2013,01,2013-Dec-01
158,Jan-14,97.3,97.3,Jan,14,2014,01,2014-Jan-01
159,Oct-16,105.7,105.7,Oct,16,2016,01,2016-Oct-01
160,Mar-17,106.0,106.0,Mar,17,2017,01,2017-Mar-01
161,Jun-18,106.1,106.1,Jun,18,2018,01,2018-Jun-01
162,Jul-18,106.2,106.2,Jul,18,2018,01,2018-Jul-01
