,Regression Line Points,Safety Index,Distance from London
0,51.30890172692431,46.73317444,0.0
1,51.313575352807575,44.64285714,1.9293170830000002
2,51.31824897869084,44.64285714,1.9293170830000002
3,51.3229226045741,30.85609244,7.971728848
4,51.32759623045737,30.85609244,7.971728848
5,51.33226985634063,55.88235294,12.44535729
6,51.33694348222389,46.51484356,15.1644714
7,51.34161710810715,82.59803922,17.05882147
8,51.346290733990415,45.24684874,18.1511418
9,51.35096435987368,76.10294118,18.59498681
10,51.35563798575694,46.07843137,18.81856096
11,51.360311611640206,36.50797153,35.496274
12,51.36498523752347,50.36764706,39.60381083
13,51.369658863406734,41.07142857,40.52633133
14,51.37433248929,47.36075987,47.62320978
15,51.37900611517326,77.45098039,54.50377393
16,51.383679741056525,37.47745207,58.13000359
17,51.38835336693979,52.882366000000005,61.5273864
18,51.393026992823046,46.32548462,73.31869066
19,51.39770061870631,50.26241177,75.33475051
20,51.40237424458957,45.90336134,77.95658043
21,51.40704787047284,69.81826786,79.32817139
22,51.4117214963561,64.26403547,82.31361284
23,51.416395122239365,51.47058824,88.90047274
24,51.42106874812263,53.57464051,102.8908881
25,51.42574237400589,50.98818533,114.80049640000001
26,51.430415999889156,54.40600165,119.26084740000002
27,51.43508962577242,57.34990415,143.4040096
28,51.439763251655684,59.74631718,149.9583507
29,51.44443687753895,53.18627451,152.95432150000002
30,51.449110503422204,47.58986928,156.1332856
31,51.45378412930547,74.72034048,157.89434680000002
32,51.45845775518873,38.47173873,163.3823208
33,51.463131381071996,59.46429441,172.216738
34,51.46780500695526,49.21988699,175.31388669999998
35,51.47247863283852,55.65612045,183.0352205
36,51.47715225872179,40.99639678,183.13171069999999
37,51.48182588460505,56.2930501,228.28461980000003
38,51.486499510488315,60.29411765,229.5549025
39,51.49117313637158,59.66386555,260.7323691
40,51.49584676225484,67.5210084,269.0642752
41,51.500520388138106,56.29439651,272.4266751
42,51.50519401402136,29.24364806,279.4371144
43,51.50986763990463,44.58683473,282.1848629
44,51.51454126578789,53.22164437,287.620929
45,51.519214891671155,43.9847661,306.6570203
46,51.52388851755442,56.79354525,346.739982
47,51.52856214343768,38.23529412,356.81199239999995
48,51.533235769320946,53.90374332,386.8131111
49,51.53790939520421,71.37254902,421.1551136
